id,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score
solution_P06,0.2905405254479794,0.17998094961591563,0.18884781884266863,0.5066666666666667,0.2866666666666667
solution_P02,0.364768146694909,0.10868316632579143,0.15273038737496394,0.7709923664122137,0.4266666666666667
solution_P19,0.20313381384916915,0.01138300400477825,0.09385059114027529,0.5325443786982249,0.17475728155339806
solution_P07,0.5099773714590821,0.30001612059937727,0.4180814965500825,0.8686868686868687,0.453125
solution_P05,0.31990639299903867,0.15163604195458205,0.1597355617876043,0.5873015873015873,0.38095238095238093
solution_P01,0.4691175995056995,0.2329637146571627,0.38039881072188414,0.822429906542056,0.4406779661016949
solution_P18,0.33720276115014947,0.13946097152970308,0.17795822182670545,0.7043478260869566,0.3270440251572327
solution_P03,0.11822510678324497,0.006683255345746923,0.033439319121599705,0.2942643391521197,0.13851351351351351
solution_P16,0.3554368478152407,0.21471713941996187,0.2287051286882917,0.7068965517241379,0.2714285714285714
solution_P14,0.3430806183217735,0.18415212868713682,0.23322528965490213,0.6692307692307692,0.2857142857142857
solution_P10,0.2796840721969714,0.08733879717499053,0.10148735040621973,0.4878048780487805,0.4421052631578947
solution_P12,0.21929011542684382,0.03701618105835109,0.06510196644683917,0.4690721649484536,0.30597014925373134
solution_P17,0.24676344040890275,0.036894103475133874,0.10889429573258651,0.6884875846501128,0.1527777777777778
solution_P13,0.4817448655696346,0.15767633004729495,0.4594821881183839,0.7835051546391752,0.5263157894736842
solution_P08,0.4389717674290405,0.30920893276314537,0.3503179433910557,0.6530612244897959,0.44329896907216493
solution_P11,0.26111315073558505,0.0768762086242566,0.07590972765141706,0.55,0.3416666666666667
