id,precision,recall,F1,F3
solution_P04,0.9905914664268494,0.9766368865966797,0.9835646748542786,0.9780145883560181
solution_P06,0.9188045263290405,0.8593827486038208,0.888100802898407,0.8649768233299255
solution_P02,0.9747061133384705,0.9573636054992676,0.96595698595047,0.9590699076652527
solution_P19,0.9659436345100403,0.8353008031845093,0.8958844542503357,0.8467530608177185
solution_P07,0.9919039011001587,0.9858594536781311,0.9888724088668823,0.9864604473114014
solution_P05,0.9629039764404297,0.9048604965209961,0.9329803586006165,0.9103479981422424
solution_P01,1.0,1.0,1.0,1.0
solution_P18,0.9619281888008118,0.9115785360336304,0.9360767602920532,0.9163751602172852
solution_P03,0.9551165699958801,0.9173715114593506,0.9358636736869812,0.921011209487915
solution_P16,0.9552806615829468,0.9463170766830444,0.9507777094841003,0.9472060203552246
solution_P14,0.9932341575622559,0.9878194332122803,0.9905194044113159,0.988358199596405
solution_P09,1.0,1.0,1.0,1.0
solution_P10,0.9047327041625977,0.8660354018211365,0.8849611878395081,0.8697555661201477
solution_P12,0.9835752248764038,0.9701899290084839,0.9768367409706116,0.9715120792388916
solution_P15,0.9539732336997986,0.9397891163825989,0.9468280673027039,0.9411884546279907
solution_P17,0.8824218511581421,0.8126522898674011,0.8461012244224548,0.8191288113594055
solution_P13,0.9954809546470642,0.991661012172699,0.9935672879219055,0.9920417070388794
solution_P08,0.947797954082489,0.8794688582420349,0.9123558402061462,0.8858551383018494
solution_P11,0.9334363341331482,0.8943079710006714,0.9134533405303955,0.8980726003646851
