id,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score
solution_P04,0.4595323054683733,0.16343998198341206,0.3179538296224202,0.7906976744186046,0.5660377358490566
solution_P06,0.23089815443806716,0.017865349825782452,0.02572726792648623,0.49333333333333335,0.38666666666666666
solution_P02,0.21880060805274237,0.03977948036086731,0.04203872793152716,0.5267175572519084,0.26666666666666666
solution_P19,0.26851702528730637,0.04573559346719981,0.06843131850525762,0.6686390532544378,0.2912621359223301
solution_P07,0.2822546390913142,0.07321025341364415,0.08674264638595611,0.6565656565656566,0.3125
solution_P05,0.27500097567775317,0.027437070169068784,0.04478905476416627,0.49206349206349204,0.5357142857142857
solution_P01,0.08401294647136985,0.002687092145033817,0.0067370998864934376,0.14018691588785046,0.1864406779661017
solution_P18,0.17123122873771113,0.005369500076501478,0.02565877828697635,0.4652173913043478,0.18867924528301888
solution_P03,0.1374437290436616,0.006055198799394516,0.023095601988044168,0.39900249376558605,0.12162162162162163
solution_P16,0.2505731127125497,0.033246615624349045,0.056730564289889006,0.6551724137931034,0.2571428571428571
solution_P14,0.26086892355076435,0.039275375244242065,0.05015436491286126,0.5384615384615384,0.4155844155844156
solution_P09,0.12144881189473078,0.0010755103446193196,0.002189848202279044,0.3236151603498542,0.15891472868217055
solution_P10,0.23985675559573036,0.04013999397285498,0.055294730592351404,0.5060975609756098,0.35789473684210527
solution_P12,0.18489565945077666,0.04560687943503669,0.0548774355491747,0.422680412371134,0.21641791044776118
solution_P15,0.1525947475952776,0.016757724753599927,0.024002371370935104,0.3782608695652174,0.19135802469135801
solution_P17,0.19991864923586658,0.0029708012365450213,0.017781673810758805,0.5914221218961625,0.1875
solution_P13,0.32212551557307656,0.15590549262671127,0.19210100084664053,0.6597938144329897,0.2807017543859649
solution_P08,0.24662716414691938,0.061738910251320875,0.074780266008143,0.5510204081632653,0.29896907216494845
solution_P11,0.22532566719767516,0.05915756984505823,0.08103398783453138,0.49444444444444446,0.26666666666666666
