id,codebleu,ngram_match_score,weighted_ngram_match_score,syntax_match_score,dataflow_match_score
solution_P04,0.8062196059451644,0.855914525167676,0.8610656976476463,0.9418604651162791,0.5660377358490566
solution_P06,0.471303517438,0.4067845223128203,0.43620732521695743,0.7555555555555555,0.2866666666666667
solution_P02,0.782126674849732,0.654776937011392,0.6681317980109456,0.9389312977099237,0.8666666666666667
solution_P19,0.40313180579121105,0.20275844053187836,0.3426118917270085,0.6982248520710059,0.36893203883495146
solution_P07,0.8440867285783666,0.8277752740635804,0.8343986604519066,0.9797979797979798,0.734375
solution_P05,0.5235397288911623,0.4118089284430189,0.4402864950581383,0.753968253968254,0.4880952380952381
solution_P01,1.0,1.0,1.0,1.0,1.0
solution_P18,0.628809212974669,0.5294173989323117,0.5972769317741302,0.9608695652173913,0.4276729559748428
solution_P03,0.6203239483075016,0.5120906577498996,0.5560825365719717,0.940149625935162,0.47297297297297297
solution_P16,0.7669796814588944,0.8172480111336039,0.8285032270172448,0.8793103448275862,0.5428571428571428
solution_P14,0.8968477769753582,0.7906773144212561,0.7967137934801768,1.0,1.0
solution_P09,1.0,1.0,1.0,1.0,1.0
solution_P10,0.6038615926677504,0.5960795665054494,0.6599958157188259,0.6646341463414634,0.49473684210526314
solution_P12,0.9534563292590952,0.9260579714076744,0.9284659146393233,0.9742268041237113,0.9850746268656716
solution_P15,0.8528772590903658,0.9136700004760153,0.9178605066315564,0.9565217391304348,0.6234567901234568
solution_P17,0.24985222361428006,0.02430591618297763,0.09720292811111286,0.7042889390519187,0.1736111111111111
solution_P13,0.9367265768463837,0.8711151332295498,0.8757911741559853,1.0,1.0
solution_P08,0.4717249655650017,0.3500986857893294,0.37325534576726194,0.8027210884353742,0.36082474226804123
solution_P11,0.6051602003429224,0.5785320164228692,0.6059976738377093,0.8611111111111112,0.375
