id,precision,recall,F1,F3
solution_P06,0.8552272319793701,0.7959341406822205,0.8245160579681396,0.8014909625053406
solution_P02,0.8464490175247192,0.8407512903213501,0.8435905575752258,0.8413175940513611
solution_P19,0.8891733884811401,0.7182494401931763,0.794623851776123,0.732326865196228
solution_P07,0.884669840335846,0.867963969707489,0.8762372732162476,0.8696061372756958
solution_P05,0.8591756224632263,0.8676337599754333,0.8633840084075928,0.8667804598808289
solution_P01,0.8585982322692871,0.8386597037315369,0.848511815071106,0.8406118154525757
solution_P18,0.8882290124893188,0.8335443139076233,0.860018253326416,0.8387079238891602
solution_P03,0.836080014705658,0.7241136431694031,0.7760792374610901,0.733942449092865
solution_P16,0.8965650796890259,0.7924819588661194,0.8413165211677551,0.8017899394035339
solution_P14,0.8902616500854492,0.8121489882469177,0.8494132161140442,0.8193379640579224
solution_P10,0.7929225564002991,0.8127422332763672,0.8027101159095764,0.8107157945632935
solution_P12,0.7341869473457336,0.7467178702354431,0.7403994202613831,0.7454455494880676
solution_P17,0.9042512774467468,0.8280766606330872,0.8644891977310181,0.8351117372512817
solution_P13,0.7921286225318909,0.8762452006340027,0.8320664167404175,0.8670380711555481
solution_P08,0.9558301568031311,0.8544057607650757,0.9022765755653381,0.8635692596435547
solution_P11,0.8556544780731201,0.8134968280792236,0.8340432643890381,0.817524790763855
