id,precision,recall,F1,F3
3550267,0.7974017262458801,0.5977476835250854,0.6832888126373291,0.6130985021591187
10214930,0.8208934664726257,0.6770068407058716,0.7420393824577332,0.6890851855278015
10306526,0.7987930774688721,0.7445908784866333,0.770740270614624,0.7496778964996338
8935357,0.797710657119751,0.66884446144104,0.7276158332824707,0.6798267364501953
17159341,0.7565029859542847,0.6482957601547241,0.6982319355010986,0.6577032804489136
799310,0.7877680063247681,0.6565089225769043,0.7161739468574524,0.6676331162452698
528562,0.8110369443893433,0.67791748046875,0.738526463508606,0.6892301440238953
5586608,0.7276492118835449,0.6430876851081848,0.6827601194381714,0.6506489515304565
7675381,0.7839617729187012,0.6813932657241821,0.7290878295898438,0.6904263496398926
18399513,0.754300057888031,0.6811403632164001,0.7158558964729309,0.6878114342689514
6008552,0.8025402426719666,0.5706368684768677,0.6670065522193909,0.5876167416572571
25828683,0.867267370223999,0.7177677750587463,0.7854672074317932,0.7303577065467834
6548523,0.8637545108795166,0.7244289517402649,0.7879804968833923,0.7363057136535645
806928,0.8126394748687744,0.6246587634086609,0.7063562870025635,0.6394506096839905
26211234,0.7696794271469116,0.7073330283164978,0.7371904253959656,0.7131094932556152
16130324,0.8525121808052063,0.7008621692657471,0.7692846655845642,0.7135552763938904
11839507,0.7550070285797119,0.6337429881095886,0.6890806555747986,0.6440879106521606
38473432,0.8545541167259216,0.6916494369506836,0.7645201086997986,0.7050905823707581
27939464,0.8126368522644043,0.7440945506095886,0.7768567204475403,0.7504240274429321
17414763,0.7568280100822449,0.6473067402839661,0.697796106338501,0.656811535358429
370537,0.7367489337921143,0.7181479930877686,0.7273295521736145,0.7199657559394836
12490274,0.6825542449951172,0.5960585474967957,0.6363807320594788,0.6037089824676514
9967307,0.8865516781806946,0.7482749223709106,0.8115653991699219,0.760130763053894
18993455,0.7923320531845093,0.6494876146316528,0.7138338685035706,0.6614117622375488
36300450,0.8306387662887573,0.6692184805870056,0.7412423491477966,0.6824813485145569
8980920,0.7981224656105042,0.6681155562400818,0.7273553609848022,0.679178774356842
8616075,0.7904354333877563,0.6927987933158875,0.7384036183357239,0.7014634609222412
4737932,0.7724623084068298,0.6384308338165283,0.699080228805542,0.6497040390968323
3155773,0.8120503425598145,0.7250632643699646,0.7660953998565674,0.7329143285751343
10919087,0.8228192925453186,0.7136571407318115,0.7643603682518005,0.7232524156570435
3764795,0.7620452642440796,0.6460590362548828,0.6992752552032471,0.6560443043708801
1436825,0.8028855323791504,0.6351853609085083,0.7092573046684265,0.6487356424331665
33373117,0.7534415125846863,0.6777687072753906,0.7136045694351196,0.6846450567245483
5272300,0.8241162300109863,0.6838608980178833,0.7474660873413086,0.6957008838653564
8343812,0.7170703411102295,0.6863926649093628,0.7013962268829346,0.6893417835235596
8487823,0.8289121389389038,0.7002229690551758,0.7591524124145508,0.7112653851509094
34390984,0.8432363271713257,0.8049233555793762,0.8236345052719116,0.8085972666740417
4666017,0.8168100118637085,0.708898663520813,0.7590380907058716,0.7183895111083984
2986452,0.7978878021240234,0.6116535663604736,0.6924676895141602,0.6262713074684143
15890133,0.7758059501647949,0.5720298290252686,0.6585136651992798,0.5874602794647217
1656616,0.8013910055160522,0.692270040512085,0.7428445816040039,0.7018264532089233
19785119,0.7444616556167603,0.6430230140686035,0.6900342702865601,0.6519057154655457
25291573,0.8160373568534851,0.6879383325576782,0.7465325593948364,0.6989096403121948
4814445,0.8335049152374268,0.7039147615432739,0.7632482051849365,0.7150318026542664
13638093,0.82370525598526,0.6682698726654053,0.737890899181366,0.6811228394508362
642179,0.6947064399719238,0.6131200790405273,0.6513684391975403,0.6204061508178711
11591532,0.8493160009384155,0.6567073464393616,0.7406951189041138,0.6719458103179932
20328733,0.8728654384613037,0.6810754537582397,0.7651349306106567,0.6963765621185303
10950693,0.8324165940284729,0.7158747911453247,0.7697595953941345,0.7260396480560303
11682882,0.8438409566879272,0.7328914403915405,0.784462571144104,0.7426559925079346
27940429,0.7780275344848633,0.6904299259185791,0.7316160202026367,0.6982920169830322
30370026,0.8439849615097046,0.6909002065658569,0.7598084807395935,0.7036634683609009
3123978,0.8092983365058899,0.6736372113227844,0.7352625131607056,0.6851217150688171
396191,0.7972596883773804,0.6894381046295166,0.739439070224762,0.6988898515701294
6734253,0.8339194655418396,0.7022321224212646,0.762431263923645,0.7134992480278015
16276247,0.8080838918685913,0.6661640405654907,0.7302929162979126,0.6780726909637451
4616971,0.7937718629837036,0.602672815322876,0.685146689414978,0.6175399422645569
7253677,0.8325261473655701,0.6762150526046753,0.746273398399353,0.6891542673110962
9106572,0.8521703481674194,0.6935496926307678,0.7647212147712708,0.7067040801048279
5333769,0.8691133260726929,0.7048705816268921,0.7784227132797241,0.7184476256370544
23833148,0.7622612118721008,0.6277143359184265,0.6884758472442627,0.6389932036399841
16978573,0.8435322642326355,0.7881324291229248,0.8148918151855469,0.7933427691459656
25242890,0.7595936059951782,0.6333194971084595,0.6907328963279724,0.6440256834030151
20017095,0.7967656850814819,0.6982970833778381,0.7442886233329773,0.7070350050926208
10133195,0.8033196926116943,0.6100192666053772,0.6934508085250854,0.625059962272644
34869713,0.8441265821456909,0.7397286891937256,0.7884870171546936,0.748991847038269
7079065,0.7793837189674377,0.6050577163696289,0.6812453866004944,0.6189007759094238
4500466,0.8159673810005188,0.6427226662635803,0.7190570831298828,0.6566648483276367
14175346,0.8348042964935303,0.7383098006248474,0.7835975885391235,0.7469436526298523
16049309,0.8921177983283997,0.578823983669281,0.7021068930625916,0.5998908877372742
4942693,0.7029024958610535,0.6089784502983093,0.6525782346725464,0.6172260642051697
14780830,0.8325417041778564,0.6776934862136841,0.7471790909767151,0.6905370950698853
619381,0.8093776702880859,0.7074525356292725,0.7549906373023987,0.7164750695228577
27261908,0.8675624132156372,0.7426142692565918,0.8002403974533081,0.7534658312797546
10068045,0.768169641494751,0.6589792966842651,0.7093974351882935,0.6684813499450684
3892345,0.7902200818061829,0.65046226978302,0.7135623097419739,0.6621733903884888
19101340,0.6948691010475159,0.6398007869720459,0.6661989092826843,0.6449117064476013
14438169,0.8145813345909119,0.7270943522453308,0.7683554887771606,0.7349881529808044
2983515,0.8033866286277771,0.6279935240745544,0.7049442529678345,0.6420096158981323
3534628,0.8633356094360352,0.683366060256958,0.7628804445266724,0.697914719581604
41229722,0.8565461039543152,0.7618261575698853,0.8064143061637878,0.7703449130058289
16681483,0.8672881722450256,0.7682821750640869,0.8147886395454407,0.7771539092063904
1451539,0.7678535580635071,0.6463321447372437,0.7018716335296631,0.6567255258560181
6127024,0.8055193424224854,0.6849185228347778,0.7403396368026733,0.6953288316726685
22527708,0.8169282078742981,0.7428598403930664,0.7781354188919067,0.7496567368507385
14431628,0.8563765287399292,0.7386321425437927,0.7931584119796753,0.7489292621612549
8522758,0.8399684429168701,0.6305015683174133,0.7203158140182495,0.6466267704963684
10326968,0.7870718240737915,0.6916722059249878,0.736294686794281,0.7001586556434631
16296962,0.776274561882019,0.6162054538726807,0.687039852142334,0.6291792392730713
34584837,0.8168063163757324,0.7206716537475586,0.7657334208488464,0.7292547225952148
29987457,0.7897946834564209,0.6996482610702515,0.7419934272766113,0.7077261805534363
