kernel_id,LOC,BLC,UDF,I,EH,NVD,NEC,S,P,OPRND,OPRATOR,UOPRND,UOPRATOR,ID,LOCom,EAP,CW,ALID,MeanLCC,ALLC,KLCID,CyC,MLID,NBD,AID,CC,MC,MeanWMC,MeanLMC,H1,H2,H3,MW,LMC,PT,PT_bin,LOC_bin,NVD_bin,bal_group
1435693,28,0,0.0,2,0.0,0.0,0.0,0.0,49.0,92,23,70.0,10,126.0,1.0,0.4903555837941611,1.0,7.25,3.5,42.74791666666667,5.645833333333333,1.0,21,2.0,27,8,12.0,41.25,2.833333333333333,6.0,0.0,0.0,495.0,34.0,1,"(-0.001, 1.0]","(3.999, 60.0]","(-0.001, 2.0]",
29278349,25,0,1.0,16,0.0,0.0,1.0,0.0,4.0,29,20,24.0,4,81.0,0.0,1.4052116955869725,0.0,6.333333333333333,8.333333333333334,34.016666666666666,3.5,1.0,18,6.8,52,3,,,,,,,,,1,"(-0.001, 1.0]","(3.999, 60.0]","(-0.001, 2.0]",
25170901,45,0,0.0,4,0.0,0.0,2.0,5.0,28.0,92,53,86.0,21,246.0,9.0,1.848250468143892,109.0,4.571428571428571,6.428571428571429,32.77114845938375,5.336663336663337,1.2857142857142858,22,8.235294117647058,137,7,,,,,,,,,1,"(-0.001, 1.0]","(3.999, 60.0]","(-0.001, 2.0]",
7038978,16,1,0.0,3,0.0,0.0,0.0,3.0,3.0,22,19,21.0,7,102.0,8.0,1.1352256243652734,77.0,4.0,8.0,22.46875,4.708333333333333,2.0,11,6.75,101,2,1.0,10.0,3.0,0.0,0.0,0.0,10.0,3.0,0,"(-0.001, 1.0]","(3.999, 60.0]","(-0.001, 2.0]",
20649984,21,0,0.0,3,0.0,0.0,2.0,2.0,17.0,46,20,45.0,10,60.0,0.0,0.1507121302451156,0.0,7.2,2.1,36.74333333333333,4.066666666666666,1.0,37,4.5,12,10,,,,,,,,,1,"(-0.001, 1.0]","(3.999, 60.0]","(-0.001, 2.0]",
6548523,50,0,0.0,5,0.0,1.0,6.0,4.0,38.0,103,56,100.0,22,228.0,8.0,2.508589464526393,77.0,4.285714285714286,3.571428571428572,27.65863095238095,3.7946969696969695,1.2142857142857142,12,6.75,101,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,"(-0.001, 1.0]","(3.999, 60.0]","(-0.001, 2.0]",
23791189,51,0,3.0,10,0.0,1.0,14.0,3.0,52.0,143,72,124.0,29,209.0,1.0,2.312776852365969,1.0,5.235294117647059,3.0,32.955882352941174,3.785294117647058,1.0,19,7.666666666666667,26,17,6.0,7.0,1.3333333333333333,0.0,1.0,0.0,42.0,8.0,0,"(-0.001, 1.0]","(3.999, 60.0]","(-0.001, 2.0]",
18993455,54,0,0.0,4,0.0,1.0,2.0,11.0,21.0,133,75,107.0,27,293.0,19.0,0.8485735071265551,134.0,5.823529411764706,3.176470588235294,37.34218157851376,4.188536953242836,1.1764705882352942,16,29.2,137,17,,,,,,,,,1,"(-0.001, 1.0]","(3.999, 60.0]","(-0.001, 2.0]",
5467574,35,0,0.0,3,0.0,0.0,0.0,3.0,24.0,95,59,68.0,18,197.0,8.0,1.1352256243652734,77.0,7.428571428571429,5.0,43.44345238095237,5.035714285714286,1.2857142857142858,17,6.75,101,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,"(-0.001, 1.0]","(3.999, 60.0]","(-0.001, 2.0]",
16195955,21,0,2.0,2,0.0,1.0,0.0,6.0,12.0,28,9,28.0,10,132.0,3.0,0.0226417422419643,45.0,7.2,4.2,44.33714285714286,6.419047619047619,1.0,17,9.8,66,5,8.0,45.75,4.25,4.0,0.0,0.0,366.0,34.0,0,"(-0.001, 1.0]","(3.999, 60.0]","(-0.001, 2.0]",
