id,precision,recall,F1,F3
11794997,0.8277370929718018,0.7085880041122437,0.7635422348976135,0.7189368009567261
19736618,0.8881611227989197,0.7187761664390564,0.7945413589477539,0.7327507734298706
10303608,0.7998234629631042,0.599149763584137,0.6850939393043518,0.6145691871643066
14146037,0.8154670000076294,0.6854338049888611,0.7448176145553589,0.6965407729148865
34683419,0.8651092052459717,0.6582891941070557,0.7476600408554077,0.6744122505187988
41441138,0.830089807510376,0.6456480622291565,0.7263429760932922,0.6603200435638428
21021069,0.7211411595344543,0.6275390982627869,0.6710920333862305,0.6357914209365845
13232825,0.8818811178207397,0.7117865681648254,0.7877565622329712,0.7257853150367737
9151686,0.8402435183525085,0.6840154528617859,0.7541232705116272,0.6969743967056274
16237698,0.8237382173538208,0.6971725225448608,0.7551891803741455,0.7080516219139099
3800742,0.8656426072120667,0.7439097166061401,0.8001726865768433,0.7545203566551208
7564848,0.8637716770172119,0.5613423585891724,0.6804671287536621,0.5817095637321472
41981122,0.7827376127243042,0.5520457029342651,0.6474562883377075,0.5688099265098572
39840107,0.8785504698753357,0.5750109553337097,0.6950874328613281,0.5955885648727417
27176661,0.8533995151519775,0.6698020100593567,0.7505359649658203,0.6845287680625916
35660106,0.7871372699737549,0.6796571612358093,0.7294593453407288,0.6890661120414734
10908608,0.7817875146865845,0.6593801975250244,0.7153854370117188,0.6698685884475708
1591135,0.886124849319458,0.7207740545272827,0.7949420809745789,0.7344794273376465
28486612,0.862533688545227,0.6166685819625854,0.719167947769165,0.6347624659538269
1471888,0.8042916059494019,0.6593613624572754,0.7246509790420532,0.6714608669281006
14415070,0.8361076712608337,0.5462440252304077,0.6607853174209595,0.5658614039421082
9062617,0.6928410530090332,0.7119289636611938,0.7022553086280823,0.7099729776382446
453385,0.864564061164856,0.7364190816879272,0.7953631281852722,0.7474984526634216
15400894,0.8173537850379944,0.6393803358078003,0.7174952626228333,0.6536123752593994
26226966,0.6541564464569092,0.5351876616477966,0.5887218713760376,0.5451011657714844
34309491,0.8497630953788757,0.6770546436309814,0.7536407113075256,0.6911008358001709
18962169,0.7759004235267639,0.6981548070907593,0.7349773645401001,0.7052211165428162
9758646,0.8373781442642212,0.6390490531921387,0.724892795085907,0.6545518040657043
31121714,0.8049667477607727,0.5656147003173828,0.664391040802002,0.5829482674598694
19334269,0.6389193534851074,0.6110670566558838,0.6246829032897949,0.613742470741272
10196004,0.7814242243766785,0.5402926206588745,0.6388626098632812,0.5574958324432373
12362578,0.8428799510002136,0.631939172744751,0.7223243117332458,0.6481601595878601
24348033,0.8644164800643921,0.6942540407180786,0.7700468301773071,0.7081950306892395
179028,0.8877119421958923,0.8135370016098022,0.8490074872970581,0.8203919529914856
11293871,0.879379153251648,0.7480601668357849,0.8084215521812439,0.7594003677368164
16789342,0.7942729592323303,0.48680439591407776,0.6036412119865417,0.5064077973365784
15386614,0.730888307094574,0.6513962149620056,0.6888565421104431,0.65855872631073
8683090,0.7144419550895691,0.6380036473274231,0.6740627288818359,0.6449035406112671
2054185,0.7496370077133179,0.6645395159721375,0.7045279145240784,0.6721698641777039
20788480,0.8405963182449341,0.7271989583969116,0.7797966599464417,0.7371430993080139
21539886,0.7354604005813599,0.7830018997192383,0.7584868669509888,0.777972936630249
11509038,0.7037994265556335,0.6157886981964111,0.6568590402603149,0.6235867142677307
12160771,0.7433665990829468,0.5966441035270691,0.6619727611541748,0.6086575388908386
40364197,0.7245413661003113,0.4686674475669861,0.5691693425178528,0.48582449555397034
27655957,0.8739756941795349,0.7690544128417969,0.8181650042533875,0.7783990502357483
42151998,0.865665853023529,0.7426712512969971,0.7994655966758728,0.753375232219696
4682786,0.8660216927528381,0.6579565405845642,0.747785747051239,0.6741534471511841
31875057,0.8173815608024597,0.6450960040092468,0.7210907936096191,0.65898597240448
33006016,0.8480008840560913,0.702843427658081,0.7686288952827454,0.7150840163230896
41803337,0.8670987486839294,0.6413019895553589,0.7373003363609314,0.658448338508606
5153120,0.8676497340202332,0.7153617739677429,0.7841805815696716,0.7281420230865479
12479954,0.8182049989700317,0.683039128780365,0.7445371747016907,0.6945123672485352
41978468,0.8593755960464478,0.7097053527832031,0.7774021625518799,0.722284734249115
29034787,0.8197396397590637,0.7150328159332275,0.7638145685195923,0.7242842316627502
40679197,0.81165611743927,0.6250837445259094,0.7062559723854065,0.6397903561592102
1613345,0.8328902721405029,0.5409418344497681,0.6558955907821655,0.5605919361114502
31545529,0.8853041529655457,0.6254174709320068,0.7330068945884705,0.6443322896957397
785190,0.8384657502174377,0.690076470375061,0.7570683360099792,0.702509343624115
2699445,0.8655309081077576,0.5295613408088684,0.6570916175842285,0.5509471893310547
11473991,0.8522791266441345,0.6897780299186707,0.7624664306640625,0.7031853199005127
12763247,0.7602775692939758,0.6491502523422241,0.7003329396247864,0.6587793827056885
4444602,0.8842760324478149,0.7555041313171387,0.8148338198661804,0.7666686773300171
21038062,0.7245253920555115,0.6684771776199341,0.6953737735748291,0.6736887693405151
34289981,0.8008480072021484,0.6456141471862793,0.7149012684822083,0.6583759188652039
28941839,0.6691141724586487,0.47415122389793396,0.5550090670585632,0.48838141560554504
8084711,0.7983670234680176,0.5581588745117188,0.656995415687561,0.5754733681678772
31718599,0.7950817346572876,0.671181321144104,0.7278966903686523,0.6818061470985413
16679494,0.7957971096038818,0.6202659606933594,0.6971523761749268,0.6342558860778809
7595940,0.8558310866355896,0.6862998604774475,0.7617469429969788,0.7001694440841675
35874207,0.8411180973052979,0.651128888130188,0.7340289950370789,0.6661762595176697
886748,0.7973929643630981,0.6867241263389587,0.7379323840141296,0.6963891983032227
38929975,0.865483283996582,0.665549635887146,0.7524620294570923,0.6812880039215088
31608023,0.8491477370262146,0.7444641590118408,0.7933676242828369,0.7537564635276794
22224821,0.7065039277076721,0.6742599010467529,0.6900054812431335,0.6773512959480286
27996178,0.8529911041259766,0.7366390824317932,0.7905569076538086,0.746826171875
2847721,0.838885486125946,0.625568687915802,0.7166909575462341,0.6418911218643188
39906267,0.8528615832328796,0.731942892074585,0.7877892851829529,0.7424696683883667
10739532,0.8381121754646301,0.6986703276634216,0.762065052986145,0.7104911804199219
28675378,0.8400014638900757,0.6482079029083252,0.7317459583282471,0.6633539199829102
4156776,0.7542608380317688,0.6560931205749512,0.7017605304718018,0.6647447943687439
12878825,0.7753243446350098,0.6572126746177673,0.7113994359970093,0.6673794388771057
15627631,0.8706551194190979,0.7137026190757751,0.7844047546386719,0.7268047332763672
2247665,0.8289905190467834,0.6907382011413574,0.7535759210586548,0.7024531364440918
17167838,0.8383574485778809,0.5063474178314209,0.6313655376434326,0.5272269248962402
26401062,0.7268561720848083,0.607325553894043,0.6617363691329956,0.6174799799919128
9486718,0.7786545753479004,0.47845083475112915,0.5927075743675232,0.4976368248462677
10144814,0.8663387894630432,0.6687016487121582,0.7547972798347473,0.6843128204345703
107577,0.824380099773407,0.6587329506874084,0.7323060631752014,0.672240674495697
22767803,0.8382876515388489,0.6647745370864868,0.7415159344673157,0.6788251996040344
6961244,0.7951303124427795,0.4838128089904785,0.6015814542770386,0.5035274028778076
11695468,0.8314774036407471,0.6452062129974365,0.726593554019928,0.6599916219711304
4471812,0.8548540472984314,0.6522753238677979,0.7399500012397766,0.6681077480316162
35386764,0.7825523614883423,0.6541862487792969,0.7126348614692688,0.6650961637496948
35142594,0.8066524267196655,0.6698086261749268,0.7318889498710632,0.6813675761222839
20649984,0.8038168549537659,0.729385256767273,0.7647942900657654,0.7362022995948792
24511595,0.8740338087081909,0.7031494379043579,0.7793341875076294,0.7171709537506104
13066749,0.8161357045173645,0.6889484524726868,0.7471680641174316,0.6998549699783325
7951243,0.7914066910743713,0.6778309345245361,0.7302290201187134,0.6877002120018005
